,fecha,id_evento,minuto,segundo,categoria_evento,equipo,jugador,x,y,auto_gol,remate_asistido,cabeza,penal,remate_jugada_regular,remate_contraataque,remate_balon_parado,remate_tiro_esquina,remate_tiro_libre,remate_jugada_lateral,evento_accion1,x_accion1,y_accion1,minuto_accion1,segundo_accion1,x_est,y_est,x_accion1_est,y_accion1_est,distancia_est,distancia_accion1_est,dist_a,dist_b,dist_c,angulo,angulo_est,diff_segundos,gol,tiro_salvado_accion1,drible_accion1,remate_fallido_accion1,poste_accion1
0,1,113,16,20,remate fallido,Alavés,Rubén Sobrino,89.6,51.5,False,True,True,False,True,False,False,False,False,False,pase,80.3,80.0,16,19,0.8959999999999999,0.515,0.8029999999999999,0.8,0.10507616285342752,0.358899707439279,10.911003620199203,12.159358535712322,9.6,48.81082472448743,0.2711712484693746,1,False,False,False,False,False
1,1,323,51,8,tiro salvado,Alavés,Mubarak Wakaso,88.0,73.6,False,False,False,False,True,False,False,False,False,False,pase,97.2,88.3,51,4,0.88,0.736,0.972,0.883,0.2647564918939666,0.384022134778713,22.303362975121036,30.831153076069008,9.6,9.644233833776267,0.053579076854312596,4,False,False,False,False,False
2,1,489,78,18,remate fallido,Alavés,Adrián Marín,94.1,58.1,False,True,False,False,False,False,True,False,False,False,pase,69.9,27.3,78,16,0.941,0.581,0.6990000000000001,0.273,0.10020977996183805,0.37700132625761407,6.760177512462235,14.185203558638136,9.6,36.20308633423884,0.201128257412438,2,False,False,False,False,False
3,1,68,5,9,remate fallido,Athletic Club,Yeray Álvarez,87.6,40.1,False,True,True,False,False,False,True,False,False,False,pase,66.4,76.6,5,7,0.8759999999999999,0.401,0.664,0.7659999999999999,0.1586726189359715,0.428546380220391,19.231484602078957,13.407833531186169,9.6,27.494224766007253,0.15274569314448475,2,False,False,False,False,False
4,1,111,8,37,remate fallido,Athletic Club,Yuri Berchiche Izeta,85.8,66.8,False,True,False,False,True,False,False,False,False,False,pase,98.1,24.4,8,34,0.858,0.6679999999999999,0.981,0.244,0.21997272558205933,0.25670410982296327,18.591395859375382,25.84956479324168,9.6,16.478620441965152,0.09154789134425084,3,False,False,False,False,False
5,1,157,11,49,remate fallido,Athletic Club,Iñaki Williams,91.7,41.5,False,True,True,False,False,False,True,False,False,False,pase,73.5,5.9,11,45,0.917,0.415,0.735,0.059000000000000004,0.11880235687897778,0.5144958697599039,15.677372228788851,9.087353850269064,9.6,34.00684974723466,0.18892694304019256,4,False,False,False,False,False
6,1,201,14,16,tiro salvado,Athletic Club,Yeray Álvarez,88.0,48.0,False,True,True,False,False,False,True,False,False,False,duelo aéreo,90.4,48.0,14,15,0.88,0.48,0.904,0.48,0.1216552506059644,0.09806120537705008,13.792751719653332,12.322337440599489,9.6,42.672804565954436,0.23707113647752465,1,False,False,False,False,False
7,1,184,14,19,tiro salvado,Athletic Club,Óscar De Marcos,88.0,39.0,False,False,False,False,False,False,True,False,False,False,tiro salvado,88.0,48.0,14,16,0.88,0.39,0.88,0.48,0.16278820596099705,0.1216552506059644,19.840362899906843,13.507035203922436,9.6,25.459668225118854,0.1414426012506603,3,False,True,False,False,False
8,1,307,25,59,tiro salvado,Athletic Club,Óscar De Marcos,90.7,41.3,False,True,False,False,True,False,False,False,False,False,pase,90.2,18.2,25,57,0.907,0.413,0.902,0.182,0.12734991166074675,0.3327581704481499,16.393291310777098,10.084641788382966,9.6,32.68649900833057,0.18159166115739206,2,False,False,False,False,False
9,1,316,26,57,gol,Athletic Club,Peru Nolaskoain,95.6,60.4,False,True,True,False,False,False,False,True,False,False,duelo aéreo,95.6,60.2,26,56,0.956,0.604,0.956,0.602,0.11292475370794483,0.11108555261599053,7.121797525905947,15.824032355881984,9.6,22.01288780708565,0.12229382115047584,1,True,False,False,False,False
10,1,340,29,32,remate fallido,Athletic Club,Iñaki Williams,88.5,64.7,False,True,False,False,True,False,False,False,False,False,pase,61.6,62.0,29,29,0.885,0.647,0.616,0.62,0.18663868837944614,0.402313310741765,15.174320413119004,22.638462845343543,9.6,18.746135212694803,0.10414519562608224,3,False,False,False,False,False
11,1,435,38,47,tiro salvado,Athletic Club,Aritz Aduriz,92.6,57.9,False,True,True,False,True,False,False,False,False,False,duelo aéreo,91.2,56.8,38,46,0.9259999999999999,0.579,0.912,0.568,0.10824509226750192,0.1112115101956627,8.02309167341369,14.69863939281456,9.6,37.04188941222284,0.2057882745123491,1,False,False,False,False,False
12,1,461,41,55,remate fallido,Athletic Club,Markel Susaeta,76.8,27.9,False,False,False,False,False,False,False,False,True,False,falta,76.8,31.8,40,46,0.768,0.27899999999999997,0.768,0.318,0.32041379495895617,0.2948694626440656,35.5225280631883,28.94011057338932,9.6,12.512243920276521,0.06951246622375845,69,False,False,False,False,False
13,1,495,44,51,remate fallido,Athletic Club,Iker Muniain,76.6,67.6,False,True,False,False,True,False,False,False,False,False,pase,78.5,70.8,44,49,0.7659999999999999,0.6759999999999999,0.785,0.708,0.2928002732239163,0.29914712099567325,26.672082783314845,32.39320916488516,9.6,15.070162915853986,0.08372312731029992,2,False,False,False,False,False
14,1,629,56,44,remate fallido,Athletic Club,Markel Susaeta,89.4,31.9,False,False,False,False,True,False,False,False,False,False,pase,73.3,8.2,56,41,0.894,0.319,0.733,0.08199999999999999,0.20975461854271527,0.49599697579723206,25.234302050978147,17.00735135169495,9.6,13.716008506888523,0.07620004726049179,3,False,False,False,False,False
15,1,736,68,26,tiro salvado,Athletic Club,Aritz Aduriz,91.9,51.1,False,True,True,False,True,False,False,False,False,False,pase,91.6,9.7,68,24,0.919,0.511,0.9159999999999999,0.09699999999999999,0.0817435012707432,0.41166126852061274,8.905054744357267,10.0209779961838,9.6,60.61986228878847,0.3367770127154915,2,False,False,False,False,False
16,1,796,74,2,remate fallido,Athletic Club,Yuri Berchiche Izeta,76.1,70.5,False,False,False,False,False,False,False,True,False,False,pase,82.2,89.4,73,58,0.7609999999999999,0.705,0.8220000000000001,0.894,0.3148745782053547,0.4323424568556736,28.595454184188092,34.80373543170331,9.6,13.32886549418682,0.07404925274548234,4,False,False,False,False,False
17,1,806,74,55,tiro salvado,Athletic Club,Iñaki Williams,90.2,25.2,False,True,False,False,True,False,False,False,False,False,pase,66.0,39.5,74,51,0.902,0.252,0.66,0.395,0.26666083326952983,0.3558440669731617,31.180121872757326,22.271955459725582,9.6,7.7861236464898536,0.04325624248049919,4,False,False,False,False,False
18,1,908,86,14,remate fallido,Athletic Club,Peru Nolaskoain,94.9,51.3,False,True,True,False,False,False,False,True,False,False,pase,99.5,99.5,86,11,0.9490000000000001,0.513,0.995,0.995,0.05263078946776301,0.49502525188115404,6.185466837676841,7.9511005527536796,9.6,84.56298152373007,0.4697943417985004,3,False,False,False,False,False
